name,latitude,longitude
10 Bressenden Place-London-SW1E 5DU,51.49808713,-0.14270927
129A Wilton Road-London-SW1V 1JZ,51.4943291,-0.1424848
85 Aldgate High Street-London-EC3N 1LH,51.51363,-0.07623
78 Hatton Garden-London-EC1N 8JS,51.5200923,-0.1088443
350 Euston Road-London-NW1 3AX,51.52431229,-0.1423136
61-65 Conduit Street-London-W1S 2GB,51.5127923,-0.1409564
4 Wimbledon Hill Road-London-SW19 7NS,51.4209551,-0.2073728
319 High Holborn-London-WC1V 7PU,51.5181837,-0.1127135
99-119 Hammersmith Road-London-W14 0QH,51.4944688,-0.2125084
211-213 Baker Street-London-NW1 6UY,51.5228759,-0.1580332
2 Garratt Lane-London-SW18 4TF,51.4565325,-0.1931406
143-171 Moorgate-London-EC2M 6XB,51.5187839,-0.0882404
381 Oxford Street-London-W1C 2JS,51.5137898,-0.1495888
201 Bishopsgate-London-EC2M 3AB,51.52075169,-0.07928689
257-258 Upper Street-London-N1 1RU,51.54586384,-0.10345024
Endeavour Square-London-E20 1GL,51.5413728,-0.0093168
133 Houndsditch-London-EC3A 7BX,51.5152008,-0.078125
A219-London-W6 9YE,51.49239676,-0.22337689
90 Queen Street-London-EC4N 1SA,51.51340074,-0.09217212
110 Fetter Lane-London-EC4A 1ES,51.515906,-0.109562
58-60 Stamford Street-London-SE1 9LX,51.5071699,-0.1078545
140 Ladbroke Grove-London-W10 5NE,51.51784776,-0.21003508
106-108 Brompton Road-London-SW3 1JJ,51.49934742,-0.16468526
27-28 Great Marlborough Street-London-W1F 7HY,51.5137561,-0.1396972
4 Sheldon Square-London-W2 6EZ,51.5192202,-0.18009402
Paddington Station-London-W2 1DA,51.5166744,-0.1769328
Melcombe Place-London-NW1 6JJ,51.52253148,-0.16336733
Gee's Court-London-W1U 1JF,51.51503386,-0.14997509
Marsh Wall-London-E14 9SH,51.50102483,-0.01725946
125 High Holborn-London-WC1V 6AN,51.5176865,-0.121175
3 America Square-London-EC3N 2LR,51.51148784,-0.07564366
164 Buckingham Palace Road-London-SW1W 9TP,51.49246256,-0.14848442
London-E15 1AZ,51.5412813,-0.0034123
19-23 Horseferry Road-London-SW1P 2AA,51.4947145,-0.1295317
19-20 Liverpool Street-London-EC2M 7PD,51.51735514,-0.08250872
24 Farringdon Street-London-EC4A 4AB,51.5157599,-0.1042396
Hartmann Road-London-E16 2PB,51.5036156,0.0497659
87-88 Strand-London-WC2R 0DW,51.5103242,-0.1214387
City Road-London-EC1Y 1HQ,51.52440832,-0.08726891
3 Mitcham Road-London-SW17 9PA,51.42804,-0.16755
Euston Road-London-NW1 2QP,51.5315184,-0.1261342
Fulham Road-London-SW6 1BW,51.48034865,-0.19451943
2-4 Camden High Street-London-NW1 0JH,51.5348448,-0.1384267
5 Vere Street-London-W1G 0DJ,51.51518008,-0.14697921
1 Whitehall-London-SW1A 2DD,51.5072045,-0.12724579
40 Stoney Street-London-SE1 9LB,51.5068357,-0.0912484
125-135 Fenchurch Street-London-EC3M 5DJ,51.51187442,-0.08166179
84-86 Holland Park Avenue-London-W11 3RB,51.507197,-0.206148
200 Aldersgate Street-London-EC1A 4HD,51.51756481,-0.09758021
157-168 Blackfriars Road-London-SE1 8EZ,51.5017165,-0.10430526
7 More London Place-London-SE1 2RT,51.5045414,-0.08148789
Buckingham Palace Road-London-SW1W 9SJ,51.4946954,-0.1458012
165-166 London Wall-London-EC2M 5QD,51.51738659,-0.08795169
128 Shoreditch High Street-London-E1 6JE,51.5267733,-0.0783155
64-68 New Oxford Street-London-WC1A 1AZ,51.5170143,-0.1272275
128 Queen Victoria Street-London-EC4V 4BY,51.5121032,-0.0978839
67 Coleman Street-London-EC2R 5BT,51.5164199,-0.0895298
5-11 Mortimer Street-London-W1T 3JB,51.5186638,-0.1372491
Retail Unit 1 Thomas More Square-London-E1W 1YN,51.50812864,-0.06816988
77-78 Saint Martin's Lane-London-WC2N 4AA,51.5116009,-0.1274809
3-5 Praed Street-London-W2 1NJ,51.51896406,-0.16931874
367B Fulham Road-London-SW10 9TN,51.485408,-0.1816043
7-9 Queensway-London-W2 4QJ,51.5106746,-0.1872789
163 Piccadilly-London-W1J 9ED,51.5078158,-0.1400834
152 Waterloo Road-London-SE1 7AA,51.5023495,-0.1104027
141 Cheapside-London-EC2V 6BJ,51.5145692,-0.0960176
111 Westminster Bridge Road-London-SE1 7HR,51.49914247,-0.11326314
83 Chancery Lane-London-WC2A 1DD,51.5158202,-0.1120312
Pancras Rd-London-N1C 4AP,51.53157258,-0.12443669
